DST0007*01  X220 000-008-011-011-003 001 003 002 003 002 006 010 007 008 009 010 013 015 016 016 017 020 014 014 014 007
DST0007*02  X220 000 013 012 012 012 011 011 008 004 002 002 005 005 008 011 011 010 006 013 013 014 017 016 016 015 010
DST0007*03  X220 000 010 008 001 002 004 005 009 011 008 008 014 015 009 006 011 012 008 005 003 004 007 009 007 002 007
DST0007*04  X220 000-004-002 004 009 010 013 012 014 014 012 017 018 014 027 019 015 015 011 012 013 013 012 011 013 012
DST0007*05  X220 000 013 012 014 014 011 011 012 005 001-007-003-002-003-008-013-008-005-005-007-007-007-005-003-003 000
DST0007*06  X220 000-002 002 006 009 009 005 005 004 007 005 004 002 000 000 000 000 002 004 004 006 011 010 010 005 005
DST0007*07  X220 000 001 001 002 000-003-002-001 003 005 006 007 009 012 014 013 011 008 009 009 007 010 013 013 015 007
DST0007*08  X220 000 010 007 006 004 002 004 006 008 008 009 006 007 005 005 007 007 005 010 013 011 014 012 013 013 008
DST0007*09  X220 000 008 008 011 012 009 007 008 004 003 006 002 001 003 003 004 005 008 009 012 006 005 009 011 004 007
DST0007*10  X220 000 000 001 007 011 012 005 010-003-019-001 006 002 001 013 013 011 008 012 015 008 009 015 021 017 007
DST0007*11  X220 000 016 022 018 033 043 049 024 020 024 021 027 020 024 011 010 001-004-003-005-013-016-021-011 001 012
DST0007*12  X220 000-019-026-024-023-025-021-017-015-013-002-006-012-017-016-009-002 004 005-001-007-007-006-008-008-011
DST0007*13  X220 000-007-005-001 000 000 005 008 006 003 016 050 029 026-008-010-012-009-008-015-025-038-043-041-037-005
DST0007*14  X220 000-030-021-013-015-021-020-024-018-018-018-018-024-028-024-020-008-010-002 001 002-015-025-024-029-018
DST0007*15  X220 000-034-026-026-033-029-018-019-022-033-039-044-042-050-057-024 007-037-046-043-061-198-289-281-281-072
DST0007*16  X220 000-301-301-279-260-233-209-197-179-175-166-157-149-143-136-138-138-132-126-125-124-121-117-117-117-173
DST0007*17  X220 000-114-112-107-101-094-087-081-076-068-071-070-069-069-069-069-064-058-054-048-045-042-041-040-041-070
DST0007*18  X220 000-041-036-033-038-036-036-041-037-037-040-042-042-037-036-039-036-034-032-027-017-014-023-026-032-034
DST0007*19  X220 000-034-036-034-035-034-030-024-019-020-025-028-030-030-027-024-013-003-002 004 002-003-007-021-029-021
DST0007*20  X220 000-027-030-048-063-072-071-064-078-084-093-083-082-087-083-086-078-073-073-060-061-056-056-059-062-068
DST0007*21  X220 000-060-057-052-051-049-044-041-036-034-035-036-042-048-049-046-041-041-041-039-035-031-029-023-022-041
DST0007*22  X220 000-026-027-030-034-033-031-026-025-031-039-040-042-043-046-050-055-060-063-057-051-045-047-044-039-041
DST0007*23  X220 000-041-037-032-038-039-036-024-020-022-018-014-014-014-015-026-030-032-042-041-044-047-058-068-063-034
DST0007*24  X220 000-055-055-054-055-047-043-043-041-040-040-037-036-037-035-034-033-032-030-030-030-030-029-026-022-038
DST0007*25  X220 000-022-021-021-023-025-025-022-017-017-017-015-014-018-018-018-019-020-019-023-025-023-022-020-016-020
DST0007*26  X220 000-017-020-014-012-009-010-009-020-029-038-042-038-036-034-040-044-041-038-037-027-042-038-028-023-029
DST0007*27  X220 000-031-040-042-040-036-032-027-020-017-019-023-027-032-034-033-028-023-023-023-021-018-020-019-017-027
DST0007*28  X220 000-016-018-024-030-034-044-037-048-051-030-011-016-023-031-027-044-046-032-019-012-012-026-029-027-029
DST0007*29  X220 000-028-017-026-029-028-034-041-048-039-043-058-071-061-038-031-035-041-034-032-037-040-042-042-039-039
DST0007*30  X220 000-035-032-035-039-037-033-027-026-024-022-019-019-023-023-024-025-023-017-017-017-017-017-017-018-024
DST0007*31  X220 000-019-019-017-018-021-023-023-018-020-021-028-034-035-034-039-038-029-027-032-032-027-025-027-033-027
